_id,id,aula,polo,sede,day,month,year,time.start,time.end,bookingDate,googleCalendarId,,,,,,,,,,,,,
5fa9064a1bd2a03f4641a21c,10033,1000,1000,1000,9,11,2020,18.30,20.30,2020-11-09T09:05:14.813Z,04isamu8nu4i6t1o9f2tia1stc,,,,,,,,,,,,,
5fa9066b1bd2a03f4641a21e,10033,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-09T09:05:47.676Z,oa01ologvbai1luf7pergu5bf4,,,,,,,,,,,,,
5fa906d61bd2a03f4641a220,10034,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T09:07:34.380Z,49qsnh92tmvst2u1mub807qrk4,,,,,,,,,,,,,
5fa910651bd2a03f4641a224,10035,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T09:48:21.263Z,mg8rc8fikdugbt4de46gb97r94,,,,,,,,,,,,,
5fa9137f1bd2a03f4641a23a,10036,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-09T10:01:35.833Z,cd2n1n54av1hvh9btscabhrj28,,,,,,,,,,,,,
5fa913e41bd2a03f4641a250,10037,1001,1001,1000,10,11,2020,14.15,16.15,2020-11-09T10:03:16.848Z,9g17cg47g59pb6mn156bli8teg,,,,,,,,,,,,,
5fa914c51bd2a03f4641a273,10038,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-09T10:07:01.112Z,l1d793mlcvbool1f457fr4v318,,,,,,,,,,,,,
5fa916c11bd2a03f4641a2cb,10039,1000,1000,1000,10,11,2020,8.30,10.30,2020-11-09T10:15:29.480Z,smbndaf5getq2iej2l49dlq96c,,,,,,,,,,,,,
5fa916d11bd2a03f4641a2ce,10039,1000,1000,1000,10,11,2020,10.45,12.45,2020-11-09T10:15:45.491Z,s7vph91s0rlg6tlhts67118p38,,,,,,,,,,,,,
5fa917f81bd2a03f4641a2de,10040,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T10:20:40.511Z,92nd33dgbmgpg9cbio5vs7nqjg,,,,,,,,,,,,,
5fa923871bd2a03f4641a304,10041,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T11:09:59.917Z,mrna6jvv13jvd8pmljit96cn3g,,,,,,,,,,,,,
5fa926a51bd2a03f4641a308,10042,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-09T11:23:17.760Z,7rqarfslpjhvah4sevsve6gsnc,,,,,,,,,,,,,
5fa928b81bd2a03f4641a30a,10024,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T11:32:08.977Z,r8ff8be1gmen1cp5cm5ho7hpso,,,,,,,,,,,,,
5fa929781bd2a03f4641a30c,10043,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-09T11:35:20.323Z,nofcis3oeaaf9l4d252lh4a560,,,,,,,,,,,,,
5fa92a841bd2a03f4641a320,10044,1003,1003,1000,10,11,2020,14.15,16.15,2020-11-09T11:39:48.401Z,0ffr36uojq26evj9fmipbeofp8,,,,,,,,,,,,,
5fa92a921bd2a03f4641a322,10044,1003,1003,1000,10,11,2020,16.30,18.30,2020-11-09T11:40:02.309Z,c515qv42h9vugb2gf3i86f9ujs,,,,,,,,,,,,,
5fa92a981bd2a03f4641a324,10045,1003,1003,1000,10,11,2020,14.15,16.15,2020-11-09T11:40:08.679Z,64ktinhvl2f26gmnkj7qrlfpps,,,,,,,,,,,,,
5fa92aa91bd2a03f4641a326,10045,1003,1003,1000,10,11,2020,16.30,18.30,2020-11-09T11:40:25.302Z,fa6a5k7sphcch7q6u1k5evpd0o,,,,,,,,,,,,,
5fa92f741bd2a03f4641a32d,10046,1002,1002,1000,9,11,2020,14.15,16.15,2020-11-09T12:00:52.589Z,qbgd6angeqencdbk9jcdiu6i6c,,,,,,,,,,,,,
5fa933751bd2a03f4641a335,10047,1006,1006,1002,9,11,2020,14.15,16.15,2020-11-09T12:17:57.255Z,n7ntiouv4ge5u8su97f84u7adc,,,,,,,,,,,,,
5fa93fdf1bd2a03f4641a39a,10048,1000,1000,1000,9,11,2020,14.15,16.15,2020-11-09T13:10:55.530Z,v2jj7vr987u43ino1b0ndtuemc,,,,,,,,,,,,,
