_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fabe16c1bd2a03f4641ab15,68483,465,40,1,7,11/11/2020 14:04,11/11/2020 14:04,2,11/11/2020 19:05
5fabe1791bd2a03f4641ab18,80504,40,7,1,7,11/11/2020 14:04,11/11/2020 14:04,3,11/11/2020 16:02
5fabe1821bd2a03f4641ab19,81925,55,7,1,7,11/11/2020 14:05,11/11/2020 14:05,4,11/11/2020 19:05
5fabe1941bd2a03f4641ab1a,80127,431,7,1,7,11/11/2020 14:05,11/11/2020 14:05,5,11/11/2020 19:05
5fabe19b1bd2a03f4641ab1b,80426,330,7,1,7,11/11/2020 14:05,11/11/2020 14:05,6,11/11/2020 19:05
5fabe1a81bd2a03f4641ab1c,80805,46,7,1,7,11/11/2020 14:05,11/11/2020 14:05,7,11/11/2020 16:06
5fabe1ad1bd2a03f4641ab1d,82468,316,1,1,5,11/11/2020 14:05,11/11/2020 14:05,1,11/11/2020 19:05
5fabe1b11bd2a03f4641ab1e,81019,48,7,1,7,11/11/2020 14:05,11/11/2020 14:05,8,11/11/2020 19:05
5fabe1b21bd2a03f4641ab1f,80565,187,1,1,5,11/11/2020 14:05,11/11/2020 14:05,2,11/11/2020 19:05
5fabe1b41bd2a03f4641ab20,81479,45,7,1,7,11/11/2020 14:05,11/11/2020 14:05,9,11/11/2020 19:05
5fabe1ba1bd2a03f4641ab21,80126,52,7,1,7,11/11/2020 14:06,11/11/2020 14:06,10,11/11/2020 16:06
5fabe1c71bd2a03f4641ab23,334,397,11,1,6,11/11/2020 14:06,11/11/2020 14:06,27,11/11/2020 15:57
5fabe1ca1bd2a03f4641ab24,81306,110,7,1,7,11/11/2020 14:06,11/11/2020 14:06,11,11/11/2020 19:05
5fabe1ce1bd2a03f4641ab25,335,50,7,1,7,11/11/2020 14:06,11/11/2020 14:06,12,11/11/2020 19:05
5fabe1d71bd2a03f4641ab26,80802,341,7,1,7,11/11/2020 14:06,11/11/2020 14:06,13,11/11/2020 16:07
5fabe2111bd2a03f4641ab27,70230,472,39,1,1,11/11/2020 14:07,11/11/2020 14:07,3,11/11/2020 18:10
5fabe2141bd2a03f4641ab28,81004,336,1,1,5,11/11/2020 14:07,11/11/2020 14:07,3,11/11/2020 17:07
5fabe2161bd2a03f4641ab29,69053,473,39,1,1,11/11/2020 14:07,11/11/2020 14:07,4,11/11/2020 19:05
